ID1,ID2,Distance
MN822013_1,KT732232_1,0.034735
MN822013_1,MH356250_1,0.0337794
MN822013_1,KT732230_1,0.033993
MN822013_1,KJ018971_2,0.0333753
MN822013_1,MG912592_1,0.0352013
MN822013_1,KT732261_1,0.0351568
MN822013_1,KT732260_1,0.0350204
MN822013_1,KT732259_1,0.0350219
MN822013_1,KT732258_1,0.0344118
MN822013_1,KT732253_1,0.0344806
MN822013_1,KT732244_1,0.0344806
MN822013_1,KT732256_1,0.034548
MN822013_1,KT732254_1,0.0344118
MN822013_1,KT732246_1,0.034548
MN822013_1,KT732240_1,0.0345521
MN822013_1,KT732234_1,0.0344818
MN822013_1,KT732233_1,0.0344833
MN822013_1,KT732238_1,0.0344818
MN822013_1,KT732237_1,0.0344818
MN822013_1,KT732243_1,0.0347531
MN822013_1,KT732257_1,0.0347517
MN822013_1,KT732250_1,0.0347517
MN822013_1,KT732249_1,0.0347517
MN822013_1,KT732251_1,0.0346828
MN822013_1,KT732247_1,0.0347517
MN822013_1,KT732242_1,0.0346169
MN822013_1,KT732239_1,0.0346169
MN822013_1,KT732236_1,0.0346169
MN822013_1,KT732235_1,0.0346169
MN822013_1,KT732252_1,0.0348205
MN822013_1,KT732255_1,0.0348894
MN822013_1,KT732248_1,0.0348909
MN822013_1,KT732245_1,0.0348909
MN822013_1,KT732241_1,0.0346828
MN822013_1,JN635407_1,0.0325807
MN822013_1,KC117298_1,0.032429
MN822013_1,MN630023_1,0.0380792
MN822013_1,KY969481_1,0.0377441
MN822013_1,KY969477_1,0.0379756
MN822013_1,KT732223_1,0.0379998
MN822013_1,KT732222_1,0.0376604
MN822013_1,KT732218_1,0.0384846
MN822013_1,KT732217_1,0.0379351
MN822013_1,KT732216_1,0.0380041
MN822013_1,KT732224_1,0.0376561
MN822013_1,KT732221_1,0.0377947
MN822013_1,KT732219_1,0.0375897
MN822013_1,KT732220_1,0.0381361
MN822013_1,KY969478_1,0.0382931
MN822013_1,KT732215_1,0.0379994
MN822013_1,MK513622_1,0.0410822
MN822013_1,MK513617_1,0.0409434
MN822013_1,MK513613_1,0.0409434
MN822013_1,MK513611_1,0.0409434
MN822013_1,MK513604_1,0.0409434
MN822013_1,MK513601_1,0.0409434
MN822013_1,MK513598_1,0.0409434
MN822013_1,MK513607_1,0.0410128
MN822013_1,MK513616_1,0.0409444
MN822013_1,MK513606_1,0.0411497
MN822013_1,MK513600_1,0.0410813
MN822013_1,MK513605_1,0.0410119
MN822013_1,MK513621_1,0.0410804
MN822013_1,MK513620_1,0.0410804
MN822013_1,MK513618_1,0.0410804
MN822013_1,MK513614_1,0.0409434
MN822013_1,MK513612_1,0.0410101
MN822013_1,MK513603_1,0.041148
MN822013_1,MK513599_1,0.041148
MN822013_1,MK513602_1,0.0410795
MN822013_1,MK513615_1,0.0412841
MN822013_1,MK513619_1,0.0410786
MN822013_1,MK513609_1,0.0410138
MN822013_1,MK513608_1,0.0410822
MN822013_1,MK513610_1,0.0408714
MN822013_1,KX838946_2,0.0404178
MN822013_1,MG912590_1,0.0333957
MN822013_1,HM439386_1,0.0333969
MN822013_1,KT732214_1,0.0370648
MN822013_1,JN635408_1,0.0352622
MN822013_1,EF565859_1,0.0241763
MN822013_1,DQ227318_1,0.0299694
MN822013_1,DQ227319_1,0.0287123
MN822013_1,DQ227321_1,0.0280516
MN822013_1,DQ227320_1,0.032506
MN822013_1,MF775733_1,0.0400462
MN822013_1,MH356238_2,0.0370943
MN822013_1,MH356255_1,0.0373535
MN822013_1,MH356252_1,0.0364243
MN822013_1,MH356247_1,0.0370333
MN822013_1,MH356246_1,0.0369685
MN822013_1,MH356251_1,0.0377693
MN822013_1,MH356249_1,0.0375788
MN822013_1,MH356248_1,0.0355343
MN822013_1,MG912593_1,0.0342104
MN822013_1,MF449469_1,0.0338121
MN822013_1,KC164757_1,0.0336752
MN822013_1,JN635403_1,0.0333388
MN822013_1,JN635402_1,0.0330748
MN822013_1,KY656518_1,0.034438
MN822013_1,KT732229_1,0.0345651
MN822013_1,KT732228_1,0.0344969
MN822013_1,KT732227_1,0.0343617
MN822013_1,KT732226_1,0.0343609
MN822013_1,KT732225_1,0.0341572
MN822013_1,KY969479_1,0.0353084
MN822013_1,MN630022_1,0.0406716
MN822013_1,KY969476_1,0.0401435
MN822013_1,MG912591_1,0.0413714
MN822013_1,KC164758_1,0.0429883
MN822013_1,X16568_1,0.023729
MN822013_1,X16567_1,0.0211371
MN822013_1,X16566_1,0.0243956
MN822013_1,X16569_1,0.0377436
MN822013_1,MN630021_1,0.055163
MN822013_1,MN630020_1,0.0563284
MN822013_1,KJ755982_1,0.0557746
MN822013_1,KJ755981_1,0.0555671
MN822013_1,KJ755979_1,0.0548028
MN822013_1,JN635411_1,0.0548027
MN822013_1,KJ018970_2,0.0555751
MN822013_1,KJ755976_1,0.0541132
MN822013_1,KJ755980_1,0.0564552
MN822013_1,KT588921_1,0.0569913
MN822013_1,DQ211902_1,0.0535284
MN822013_1,MG972194_1,0.0589242
MN822013_1,KJ755978_1,0.0535612
MN822013_1,KJ755977_1,0.0531475
MN822013_1,KJ755975_1,0.0503062
MN822013_1,MG912594_1,0.0498272
MN822013_1,KJ755974_1,0.0504585
MN822013_1,FJ161211_1,0.0524971
MN822013_1,DI034478_1,0.901424
MN822013_1,BD137599_1,0.901424
MN822013_1,DI004932_1,0.89297
MN822013_1,BD137602_1,0.89297
MN822013_1,DI076729_1,0.8933
MN822013_1,BD137600_1,0.8933
MN822013_1,DI047195_1,0.895016
MN822013_1,BD137603_1,0.895016
MN822013_1,DI029710_1,0.894687
MN822013_1,BD137601_1,0.894687
MN822013_1,DI041162_1,0.894369
MN822013_1,BD137598_1,0.894369
Z66517_1,AB052820_1,0.000451759
Z66517_1,MN145872_1,0.00378837
Z66517_1,FJ416067_1,0.00353507
Z66517_1,EU435017_1,0.00404146
Z66517_1,LF947387_1,0.0034067
Z66517_1,AB046218_1,0.0034067
Z66517_1,AB591381_1,0.00277447
Z66517_1,AF266286_1,0.00302732
Z66517_1,DI021106_1,0.00302732
Z66517_1,BD137597_1,0.00302732
Z66517_1,AF266290_1,0.002649
Z66517_1,DI059890_1,0.002649
Z66517_1,BD137596_1,0.002649
Z66517_1,AY486084_1,0.00264919
Z66517_1,AY486083_1,0.00264919
Z66517_1,JF727650_1,0.0023968
Z66517_1,JF727649_1,0.0023968
Z66517_1,AY730614_1,0.00220689
Z66517_1,FJ416068_1,0.00296435
Z66517_1,EF033071_1,0.00296435
Z66517_1,AB569621_1,0.00183436
Z66517_1,AF128248_1,0.00168113
Z66517_1,AF128252_1,0.000916462
Z66517_1,AF128253_1,0.00152822
Z66517_1,AF128251_1,0.00122227
Z66517_1,AF128249_1,0.00168117
