#node	date	numeric date
KT732261_1	2005-07-01	2005.497260
NODE_0000072	2004-10-26	2004.819533
KT732245_1	2005-02-01	2005.086301
NODE_0000073	2004-11-02	2004.836125
NODE_0000074	2004-11-08	2004.852716
KT732247_1	2005-03-01	2005.163014
KT732255_1	2005-04-01	2005.247945
NODE_0000075	2005-03-21	2005.218998
KT732249_1	2005-04-01	2005.247945
NODE_0000076	2005-03-26	2005.232633
KT732257_1	2005-04-01	2005.247945
KT732251_1	2005-04-01	2005.247945
