ID1,ID2,Distance
JF727650_1,MK513626_1,0.033953
JF727650_1,MK513624_1,0.0332869
JF727650_1,MH173047_1,0.0334877
JF727650_1,MH631016_1,0.0335693
JF727650_1,MF496201_1,0.0335095
JF727650_1,MK161348_1,0.0343793
JF727650_1,KY969480_1,0.0320071
JF727650_1,KT732231_1,0.0310771
JF727650_1,JN635404_1,0.0314335
JF727650_1,MK142916_1,0.0358278
JF727650_1,MK142914_1,0.0358279
JF727650_1,KU728743_1,0.0355418
JF727650_1,KJ410048_1,0.0343133
JF727650_1,MG912592_1,0.0343321
JF727650_1,KT732261_1,0.0341383
JF727650_1,KT732259_1,0.0340037
JF727650_1,KT732257_1,0.0337339
JF727650_1,KT732249_1,0.0337339
JF727650_1,KT732251_1,0.0336652
JF727650_1,KT732247_1,0.0337339
JF727650_1,KT732239_1,0.0335993
JF727650_1,KT732235_1,0.0335993
JF727650_1,KT732255_1,0.0338713
JF727650_1,KT732245_1,0.0338728
JF727650_1,KT732253_1,0.0334633
JF727650_1,KT732233_1,0.0334659
JF727650_1,KT732237_1,0.0334644
JF727650_1,KT732243_1,0.0337352
JF727650_1,KT732241_1,0.0336651
JF727650_1,KJ018971_2,0.0325091
JF727650_1,KC117298_1,0.0314181
JF727650_1,JN635410_1,0.0324246
JF727650_1,MF449469_1,0.0327448
JF727650_1,JN635402_1,0.032009
JF727650_1,KT732229_1,0.0333455
JF727650_1,KT732227_1,0.0331425
JF727650_1,KT732225_1,0.0329385
JF727650_1,MK513622_1,0.0399824
JF727650_1,MK513604_1,0.0398439
JF727650_1,MK513598_1,0.0398439
JF727650_1,MK513620_1,0.0399805
JF727650_1,MK513618_1,0.0399805
JF727650_1,MK513614_1,0.0398439
JF727650_1,MK513616_1,0.0398448
JF727650_1,MK513606_1,0.0400497
JF727650_1,MK513600_1,0.0399814
JF727650_1,MK513612_1,0.0399105
JF727650_1,MK513602_1,0.0399797
JF727650_1,MK513608_1,0.0399823
JF727650_1,MK513610_1,0.0397721
JF727650_1,KY969478_1,0.0372058
JF727650_1,KT732223_1,0.0369062
JF727650_1,KT732217_1,0.0368416
JF727650_1,KT732221_1,0.0367015
JF727650_1,KT732219_1,0.0364969
JF727650_1,KT732215_1,0.0369058
JF727650_1,MG912590_1,0.0321234
JF727650_1,HM439386_1,0.0321246
JF727650_1,JN635408_1,0.0340534
JF727650_1,MF775733_1,0.0388066
JF727650_1,KC164758_1,0.0419662
JF727650_1,MN630020_1,0.0555623
JF727650_1,KT588921_1,0.0562248
JF727650_1,KJ755982_1,0.055012
JF727650_1,KJ755980_1,0.0555512
JF727650_1,KJ755976_1,0.0532119
JF727650_1,MG912594_1,0.0488634
JF727650_1,KJ755978_1,0.0526608
JF727650_1,FJ161211_1,0.051668
HM562900_1,MN630022_1,0.0427985
HM562900_1,KY969476_1,0.0423305
HM562900_1,JN635406_1,0.0402074
HM562900_1,GQ376027_1,0.0353025
HM562900_1,AB481088_1,0.0315432
HM562900_1,MK513626_1,0.0396972
HM562900_1,MK513624_1,0.0390496
HM562900_1,MH173047_1,0.039057
HM562900_1,MH631016_1,0.0385611
HM562900_1,MF496201_1,0.0390527
HM562900_1,MK161348_1,0.0393815
HM562900_1,KY969480_1,0.0374042
HM562900_1,KT732231_1,0.038077
HM562900_1,JN635404_1,0.0370864
HM562900_1,MK142916_1,0.040041
HM562900_1,MK142914_1,0.0403705
HM562900_1,KU728743_1,0.04119
HM562900_1,KJ410048_1,0.0398815
HM562900_1,MG912592_1,0.0395738
HM562900_1,KT732261_1,0.0394169
HM562900_1,KT732259_1,0.0397382
HM562900_1,KT732257_1,0.0392498
HM562900_1,KT732249_1,0.0392498
HM562900_1,KT732251_1,0.0392498
HM562900_1,KT732247_1,0.0392498
HM562900_1,KT732239_1,0.0392498
HM562900_1,KT732235_1,0.0392498
HM562900_1,KT732255_1,0.0394171
HM562900_1,KT732245_1,0.0392498
HM562900_1,KT732253_1,0.0390879
